roll,pitch,yaw
1.84081,-0.585577,2.65639
1.84743,-0.576703,2.65947
1.82279,-0.588028,2.68887
1.78808,-0.603193,2.72466
1.68143,-0.626628,2.8204
1.59278,-0.654602,2.91074
1.54402,-0.637158,2.97436
1.43215,-0.629628,3.0972
1.28465,-0.636398,-3.03833
1.19714,-0.598781,-2.90859
1.03698,-0.601048,-2.71574
0.902622,-0.530687,-2.52717
0.733674,-0.479533,-2.32406
0.626978,-0.405739,-2.15533
0.576832,-0.331367,-2.07154
0.533265,-0.250538,-2.01288
0.482024,-0.174147,-1.95319
0.443446,-0.0839493,-1.89453
0.378039,0.00780814,-1.80387
0.333527,0.0813651,-1.6978
0.295716,0.151809,-1.6059
0.280914,0.212632,-1.53205
0.294223,0.264993,-1.46338
0.31362,0.308171,-1.42331
0.342355,0.349353,-1.38958
0.356879,0.391713,-1.36057
0.373179,0.436691,-1.31316
0.38257,0.453537,-1.30427
0.385473,0.480526,-1.27892
0.385689,0.490347,-1.27276
0.381899,0.500732,-1.25873
0.377717,0.50012,-1.26075
0.375209,0.492336,-1.25882
0.364814,0.466013,-1.26164
0.358761,0.388747,-1.2821
0.338234,0.271979,-1.3432
0.357499,0.0960816,-1.46437
0.411139,-0.06881,-1.62092
0.450961,-0.199358,-1.72577
0.512465,-0.297037,-1.88875
0.626417,-0.365301,-2.09957
0.737582,-0.391398,-2.27813
0.845727,-0.384905,-2.39476
0.940104,-0.340308,-2.44572
1.03149,-0.274959,-2.45374
1.11427,-0.189436,-2.45654
1.19384,-0.106623,-2.45528
1.25338,-0.0569646,-2.429
1.30909,-0.0366303,-2.3982
1.38436,-0.0295757,-2.38783
1.45059,-0.0525904,-2.39563
1.53781,-0.0952026,-2.43636
1.63967,-0.0829019,-2.49486
1.65597,-0.11381,-2.45508
1.61469,-0.144244,-2.34395
1.54043,-0.149486,-2.1993
1.41717,-0.168364,-1.98117
1.3513,-0.149728,-1.78891
1.30608,-0.163732,-1.59366
1.25822,-0.237173,-1.41908
1.23232,-0.307239,-1.31042
1.2133,-0.385233,-1.2403
1.20915,-0.405026,-1.19178
1.19545,-0.435212,-1.16637
1.18468,-0.47009,-1.17583
1.20445,-0.491468,-1.25651
1.20761,-0.494478,-1.41107
1.23943,-0.423744,-1.65149
1.26958,-0.34296,-1.86361
1.25673,-0.295376,-1.99819
1.20886,-0.285669,-2.10693
1.15792,-0.283337,-2.20517
1.08482,-0.309212,-2.26647
0.974574,-0.333931,-2.29328
0.911954,-0.351567,-2.33227
0.883129,-0.35774,-2.36926
0.854986,-0.366247,-2.3689
0.8554,-0.368613,-2.35934
0.917017,-0.340133,-2.38475
1.06384,-0.230791,-2.45336
1.22098,-0.0814508,-2.48792
1.36602,0.0450464,-2.4913
1.56505,0.125331,-2.4743
1.71803,0.163389,-2.46106
1.85583,0.187258,-2.46462
1.93877,0.213685,-2.46399
1.96645,0.227285,-2.45712
1.97617,0.235846,-2.45162
1.97141,0.239255,-2.43855
1.9349,0.225,-2.42419
1.80954,0.197921,-2.42523
1.61644,0.138603,-2.40998
1.40177,0.0125659,-2.29888
1.2524,-0.0631353,-2.18492
1.12708,-0.106794,-2.12742
0.997853,-0.130981,-2.08082
0.861095,-0.206263,-2.05385
0.650028,-0.254853,-2.00105
0.456423,-0.293237,-1.94749
0.266181,-0.340005,-1.87187
0.113677,-0.371019,-1.80137
-0.0927263,-0.405704,-1.70709
-0.285776,-0.445158,-1.63656
-0.486734,-0.448648,-1.53214
-0.658883,-0.410099,-1.40945
-0.810067,-0.350748,-1.31107
-0.959322,-0.277907,-1.23952
-1.07963,-0.229039,-1.19634
-1.21274,-0.194811,-1.13947
-1.33445,-0.167357,-1.07492
-1.43335,-0.146949,-1.01839
-1.52672,-0.126754,-0.964202
-1.59739,-0.109631,-0.919931
-1.64925,-0.0991227,-0.888711
-1.68147,-0.0879104,-0.865212
-1.68669,-0.0857301,-0.865447
-1.67938,-0.084126,-0.872983
-1.65449,-0.0964986,-0.897892
-1.60877,-0.11825,-0.924507
-1.52894,-0.158137,-0.961985
-1.42034,-0.220145,-1.01787
-1.29762,-0.299257,-1.07045
-1.16829,-0.379253,-1.15419
-1.04879,-0.441209,-1.2467
-0.916552,-0.502498,-1.34854
-0.742632,-0.563563,-1.47442
-0.566846,-0.58343,-1.59827
-0.394743,-0.599488,-1.72497
-0.246956,-0.597614,-1.82762
-0.115797,-0.5922,-1.92129
0.000534843,-0.571379,-1.9825
0.104533,-0.549139,-2.01859
0.172532,-0.534645,-2.02724
0.223867,-0.510944,-2.01708
0.286901,-0.495601,-2.01865
0.346518,-0.480383,-2.03248
0.420291,-0.447506,-2.06287
0.507722,-0.434254,-2.10965
0.574054,-0.429105,-2.16583
0.656582,-0.422363,-2.24508
0.716207,-0.419913,-2.28936
0.751211,-0.415779,-2.3116
0.780798,-0.404891,-2.32782
0.832727,-0.391322,-2.34972
0.838506,-0.39292,-2.35532
0.862611,-0.388058,-2.37185
0.902129,-0.382425,-2.38993
0.902108,-0.389407,-2.37974
0.914008,-0.383846,-2.38362
0.909817,-0.381304,-2.37846
0.8252,-0.368341,-2.32192
0.739838,-0.340092,-2.26814
0.653968,-0.279591,-2.21693
0.62115,-0.256656,-2.19804
0.595331,-0.20321,-2.19134
0.569008,-0.182177,-2.17758
0.543593,-0.163553,-2.16445
0.488327,-0.166934,-2.12404
0.406062,-0.185237,-2.04914
0.291587,-0.200667,-1.94961
0.211208,-0.21615,-1.86884
0.164389,-0.227212,-1.81769
0.120058,-0.23941,-1.75939
0.0929867,-0.245072,-1.7223
0.0802104,-0.257694,-1.70693
0.0666294,-0.279806,-1.69786
0.0352669,-0.307704,-1.67178
-0.0361952,-0.337789,-1.60871
-0.0950137,-0.360085,-1.54518
-0.130204,-0.376055,-1.50222
-0.165866,-0.396889,-1.46438
-0.158997,-0.427823,-1.46998
-0.127466,-0.462398,-1.51354
-0.102558,-0.472391,-1.56041
-0.0840953,-0.467165,-1.6072
-0.0489176,-0.465307,-1.6665
0.0148049,-0.444802,-1.76273
0.0683223,-0.437327,-1.86152
0.110514,-0.414124,-1.93796
0.123883,-0.41931,-1.966
0.126871,-0.424325,-1.96339
0.131858,-0.435374,-1.93707
0.146103,-0.440754,-1.89647
0.198264,-0.433527,-1.86408
0.31818,-0.410079,-1.9285
0.447017,-0.362783,-2.04873
0.525813,-0.342353,-2.11294
0.544089,-0.330566,-2.12168
0.598744,-0.31563,-2.14478
0.656718,-0.302272,-2.17992
0.739395,-0.275649,-2.21218
0.814511,-0.234934,-2.23309
0.971095,-0.131645,-2.30387
0.148794,-0.0979549,-1.36142
0.116472,-0.110533,-1.37289
0.11517,-0.0818175,-1.40318
0.185381,-0.041141,-1.43957
0.217631,0.00441255,-1.48825
0.258199,0.0361012,-1.5376
0.26677,0.0369735,-1.60113
0.227289,0.0330145,-1.64947
0.208777,0.0476252,-1.67132
0.220863,0.0377136,-1.66925
0.229156,0.0122433,-1.61584
0.225044,-0.00769038,-1.57785
0.246203,0.0074167,-1.55413
0.267164,0.0171321,-1.5432
0.267994,0.0113543,-1.51449
0.247956,-0.00180399,-1.49301
0.234047,-0.00773232,-1.49033
0.199144,-0.0103436,-1.50694
0.183531,-0.00460447,-1.51625
0.170645,-0.00913697,-1.5058
0.143057,-0.0340316,-1.47258
0.130669,-0.0447198,-1.46
0.138329,-0.0434566,-1.47282
0.153281,-0.0494165,-1.4833
0.162467,-0.0515579,-1.50271
0.170836,-0.0617115,-1.49654
0.0553481,0.0108355,-1.38731
0.0553481,0.0108355,-1.38731
-0.680251,-0.246856,-1.32442
-0.723722,-0.235485,-1.47427
-0.690749,-0.231243,-1.57635
-0.570151,-0.222998,-1.69978
-0.444337,-0.181677,-1.76808
-0.284585,-0.115652,-1.80333
-0.123218,-0.00125289,-1.74416
0.0507135,0.107565,-1.56916
0.151874,0.129179,-1.27397
0.161662,0.098621,-1.13911
0.187572,0.137359,-1.22326
0.133241,0.120544,-1.28827
0.0951355,0.109781,-1.36762
0.0582504,0.0841756,-1.47315
0.0363275,0.0829307,-1.60785
0.0266289,0.0674678,-1.78931
0.00975722,0.04234,-1.94436
0.0044513,0.00541343,-2.04552
0.0353446,0.0197555,-2.12141
0.0581477,0.017077,-2.12736
0.0979494,0.0252395,-1.97248
0.149925,-0.000620075,-1.68768
0.11166,-0.103572,-1.26425
0.0119427,-0.168107,-0.883395
0.0685413,-0.130688,-0.802265
0.025912,-0.148769,-0.749432
0.0383121,-0.153278,-0.765636
0.0409879,-0.159181,-0.854958
0.0750277,-0.15917,-1.0972
0.0332006,-0.187324,-1.34451
0.0551626,-0.179881,-1.65496
0.0266947,-0.18633,-1.87064
-0.0127008,-0.184825,-1.99671
-0.0490973,-0.20328,-2.03852
-0.062858,-0.211899,-2.05285
-0.0511487,-0.220391,-2.07153
-0.0282327,-0.214898,-2.05035
0.0103212,-0.19442,-1.98297
0.0462871,-0.177425,-1.84017
0.0384711,-0.198558,-1.6187
0.00585479,-0.224303,-1.30178
-0.0766403,-0.286924,-0.96314
-0.124514,-0.316582,-0.674529
-0.0855351,-0.274489,-0.573187
-0.0877619,-0.262128,-0.55091
-0.0670715,-0.261849,-0.613484
-0.0487318,-0.264123,-0.772497
-0.0595461,-0.267309,-0.948702
-0.0989729,-0.270241,-1.15995
-0.0961572,-0.255102,-1.41645
-0.0993109,-0.231105,-1.69875
-0.136483,-0.190627,-1.89182
-0.209196,-0.173501,-1.99181
-0.207408,-0.159471,-2.04053
