roll,pitch,yaw,roll_next,pitch_next,yaw_next
0.240026,-0.466937,-1.99341,0.267818,-0.464672,-1.99059
0.267818,-0.464672,-1.99059,0.270182,-0.435875,-1.96946
0.270182,-0.435875,-1.96946,0.257859,-0.382105,-1.92502
0.257859,-0.382105,-1.92502,0.255752,-0.339457,-1.87307
0.255752,-0.339457,-1.87307,0.251252,-0.304671,-1.84282
0.251252,-0.304671,-1.84282,0.265395,-0.28866,-1.82854
0.265395,-0.28866,-1.82854,0.280708,-0.293016,-1.83605
0.280708,-0.293016,-1.83605,0.308213,-0.312008,-1.87384
0.308213,-0.312008,-1.87384,0.362991,-0.351522,-1.94109
0.362991,-0.351522,-1.94109,0.409261,-0.372341,-1.99498
0.409261,-0.372341,-1.99498,0.448258,-0.409806,-2.02592
0.448258,-0.409806,-2.02592,0.473787,-0.432887,-2.04714
0.473787,-0.432887,-2.04714,0.528529,-0.458514,-2.08265
0.528529,-0.458514,-2.08265,0.59007,-0.467387,-2.12729
0.59007,-0.467387,-2.12729,0.661339,-0.50454,-2.17258
0.661339,-0.50454,-2.17258,0.718801,-0.527915,-2.24102
0.718801,-0.527915,-2.24102,0.77728,-0.554203,-2.31308
0.77728,-0.554203,-2.31308,0.806812,-0.581511,-2.361
0.806812,-0.581511,-2.361,0.854843,-0.636272,-2.42306
0.854843,-0.636272,-2.42306,0.922678,-0.704408,-2.52425
0.922678,-0.704408,-2.52425,1.00983,-0.741238,-2.65102
1.00983,-0.741238,-2.65102,1.08619,-0.754491,-2.75722
1.08619,-0.754491,-2.75722,1.1462,-0.772784,-2.83567
1.1462,-0.772784,-2.83567,1.19928,-0.788082,-2.90218
1.19928,-0.788082,-2.90218,1.26839,-0.793973,-2.97941
1.26839,-0.793973,-2.97941,1.35193,-0.785029,-3.08742
1.35193,-0.785029,-3.08742,1.43475,-0.753329,3.07383
